bin_left,bin_center,bin_right,count
0.0,0.05,0.1,228
0.1,0.15000000000000002,0.2,582
0.2,0.25,0.30000000000000004,972
0.30000000000000004,0.35000000000000003,0.4,1394
0.4,0.45,0.5,1774
0.5,0.55,0.6000000000000001,2069
0.6000000000000001,0.6500000000000001,0.7000000000000001,2342
0.7000000000000001,0.75,0.8,2645
0.8,0.8500000000000001,0.9,2893
0.9,0.95,1.0,3103
1.0,1.05,1.1,3257
1.1,1.1500000000000001,1.2000000000000002,3318
1.2000000000000002,1.25,1.3,3339
1.3,1.35,1.4000000000000001,3398
1.4000000000000001,1.4500000000000002,1.5,3302
1.5,1.55,1.6,3143
1.6,1.6500000000000001,1.7000000000000002,2822
1.7000000000000002,1.75,1.8,2703
1.8,1.85,1.9000000000000001,2435
1.9000000000000001,1.9500000000000002,2.0,2207
2.0,2.05,2.1,2052
2.1,2.1500000000000004,2.2,1691
2.2,2.25,2.3000000000000003,1671
2.3000000000000003,2.3500000000000005,2.4000000000000004,1355
2.4000000000000004,2.45,2.5,1232
2.5,2.55,2.6,1050
2.6,2.6500000000000004,2.7,842
2.7,2.75,2.8000000000000003,708
2.8000000000000003,2.8500000000000005,2.9000000000000004,673
2.9000000000000004,2.95,3.0,519
3.0,3.05,3.1,477
3.1,3.1500000000000004,3.2,396
3.2,3.25,3.3000000000000003,289
3.3000000000000003,3.3500000000000005,3.4000000000000004,275
3.4000000000000004,3.45,3.5,245
3.5,3.55,3.6,190
3.6,3.6500000000000004,3.7,212
3.7,3.75,3.8000000000000003,157
3.8000000000000003,3.8500000000000005,3.9000000000000004,130
3.9000000000000004,3.95,4.0,120
4.0,4.050000000000001,4.1000000000000005,105
4.1000000000000005,4.15,4.2,122
4.2,4.25,4.3,97
4.3,4.35,4.4,82
4.4,4.45,4.5,80
4.5,4.550000000000001,4.6000000000000005,88
4.6000000000000005,4.65,4.7,65
4.7,4.75,4.800000000000001,63
4.800000000000001,4.8500000000000005,4.9,52
4.9,4.95,5.0,69
5.0,5.050000000000001,5.1000000000000005,60
5.1000000000000005,5.15,5.2,49
5.2,5.25,5.300000000000001,53
5.300000000000001,5.3500000000000005,5.4,38
5.4,5.45,5.5,44
5.5,5.550000000000001,5.6000000000000005,31
5.6000000000000005,5.65,5.7,41
5.7,5.75,5.800000000000001,27
5.800000000000001,5.8500000000000005,5.9,32
5.9,5.95,6.0,41
6.0,6.050000000000001,6.1000000000000005,40
6.1000000000000005,6.15,6.2,31
6.2,6.25,6.300000000000001,43
6.300000000000001,6.3500000000000005,6.4,27
6.4,6.45,6.5,24
6.5,6.550000000000001,6.6000000000000005,27
6.6000000000000005,6.65,6.7,30
6.7,6.75,6.800000000000001,20
6.800000000000001,6.8500000000000005,6.9,28
6.9,6.95,7.0,34
7.0,7.050000000000001,7.1000000000000005,25
7.1000000000000005,7.15,7.2,32
7.2,7.25,7.300000000000001,21
7.300000000000001,7.3500000000000005,7.4,18
7.4,7.45,7.5,28
7.5,7.550000000000001,7.6000000000000005,20
7.6000000000000005,7.65,7.7,16
7.7,7.75,7.800000000000001,21
7.800000000000001,7.8500000000000005,7.9,16
7.9,7.95,8.0,10
8.0,8.05,8.1,21
8.1,8.15,8.200000000000001,15
8.200000000000001,8.25,8.3,7
8.3,8.350000000000001,8.4,15
8.4,8.45,8.5,17
8.5,8.55,8.6,21
8.6,8.65,8.700000000000001,10
8.700000000000001,8.75,8.8,15
8.8,8.850000000000001,8.9,11
8.9,8.95,9.0,13
9.0,9.05,9.1,15
9.1,9.15,9.200000000000001,13
9.200000000000001,9.25,9.3,13
9.3,9.350000000000001,9.4,11
9.4,9.45,9.5,12
9.5,9.55,9.600000000000001,18
9.600000000000001,9.650000000000002,9.700000000000001,11
9.700000000000001,9.75,9.8,10
9.8,9.850000000000001,9.9,12
9.9,9.95,10.0,13
10.0,10.05,10.100000000000001,10
10.100000000000001,10.150000000000002,10.200000000000001,16
10.200000000000001,10.25,10.3,6
10.3,10.350000000000001,10.4,9
10.4,10.45,10.5,12
10.5,10.55,10.600000000000001,8
10.600000000000001,10.650000000000002,10.700000000000001,11
10.700000000000001,10.75,10.8,5
10.8,10.850000000000001,10.9,10
10.9,10.95,11.0,5
11.0,11.05,11.100000000000001,11
11.100000000000001,11.150000000000002,11.200000000000001,7
11.200000000000001,11.25,11.3,7
11.3,11.350000000000001,11.4,5
11.4,11.45,11.5,8
11.5,11.55,11.600000000000001,5
11.600000000000001,11.650000000000002,11.700000000000001,6
11.700000000000001,11.75,11.8,11
11.8,11.850000000000001,11.9,7
11.9,11.95,12.0,9
12.0,12.05,12.100000000000001,8
12.100000000000001,12.150000000000002,12.200000000000001,5
12.200000000000001,12.25,12.3,11
12.3,12.350000000000001,12.4,6
12.4,12.45,12.5,10
12.5,12.55,12.600000000000001,7
12.600000000000001,12.650000000000002,12.700000000000001,8
12.700000000000001,12.75,12.8,7
12.8,12.850000000000001,12.9,4
12.9,12.95,13.0,11
13.0,13.05,13.100000000000001,3
13.100000000000001,13.150000000000002,13.200000000000001,5
13.200000000000001,13.25,13.3,9
13.3,13.350000000000001,13.4,5
13.4,13.45,13.5,4
13.5,13.55,13.600000000000001,8
13.600000000000001,13.650000000000002,13.700000000000001,8
13.700000000000001,13.75,13.8,7
13.8,13.850000000000001,13.9,5
13.9,13.95,14.0,6
14.0,14.05,14.100000000000001,8
14.100000000000001,14.150000000000002,14.200000000000001,6
14.200000000000001,14.25,14.3,8
14.3,14.350000000000001,14.4,6
14.4,14.45,14.5,10
14.5,14.55,14.600000000000001,3
14.600000000000001,14.650000000000002,14.700000000000001,1
14.700000000000001,14.75,14.8,9
14.8,14.850000000000001,14.9,3
14.9,14.95,15.0,4
15.0,15.05,15.100000000000001,7
15.100000000000001,15.150000000000002,15.200000000000001,9
15.200000000000001,15.25,15.3,11
15.3,15.350000000000001,15.4,7
15.4,15.45,15.5,6
15.5,15.55,15.600000000000001,7
15.600000000000001,15.650000000000002,15.700000000000001,5
15.700000000000001,15.75,15.8,5
15.8,15.850000000000001,15.9,6
15.9,15.95,16.0,14
16.0,16.05,16.1,2
16.1,16.15,16.2,8
16.2,16.25,16.3,6
16.3,16.35,16.400000000000002,4
16.400000000000002,16.450000000000003,16.5,7
16.5,16.55,16.6,6
16.6,16.65,16.7,5
16.7,16.75,16.8,3
16.8,16.85,16.900000000000002,5
16.900000000000002,16.950000000000003,17.0,6
17.0,17.05,17.1,5
17.1,17.15,17.2,7
17.2,17.25,17.3,10
17.3,17.35,17.400000000000002,6
17.400000000000002,17.450000000000003,17.5,8
17.5,17.55,17.6,5
17.6,17.65,17.7,8
17.7,17.75,17.8,8
17.8,17.85,17.900000000000002,10
17.900000000000002,17.950000000000003,18.0,9
18.0,18.05,18.1,11
18.1,18.15,18.2,11
18.2,18.25,18.3,7
18.3,18.35,18.400000000000002,13
18.400000000000002,18.450000000000003,18.5,8
18.5,18.55,18.6,6
18.6,18.65,18.7,15
18.7,18.75,18.8,9
18.8,18.85,18.900000000000002,11
18.900000000000002,18.950000000000003,19.0,6
19.0,19.05,19.1,17
19.1,19.150000000000002,19.200000000000003,13
19.200000000000003,19.25,19.3,11
19.3,19.35,19.400000000000002,8
19.400000000000002,19.450000000000003,19.5,16
19.5,19.55,19.6,12
19.6,19.650000000000002,19.700000000000003,8
19.700000000000003,19.75,19.8,23
19.8,19.85,19.900000000000002,13
19.900000000000002,19.950000000000003,20.0,12
20.0,20.05,20.1,19
20.1,20.150000000000002,20.200000000000003,12
20.200000000000003,20.25,20.3,12
20.3,20.35,20.400000000000002,13
20.400000000000002,20.450000000000003,20.5,14
20.5,20.55,20.6,11
20.6,20.650000000000002,20.700000000000003,10
20.700000000000003,20.75,20.8,18
20.8,20.85,20.900000000000002,18
20.900000000000002,20.950000000000003,21.0,11
21.0,21.05,21.1,9
21.1,21.150000000000002,21.200000000000003,22
21.200000000000003,21.25,21.3,19
21.3,21.35,21.400000000000002,13
21.400000000000002,21.450000000000003,21.5,8
21.5,21.55,21.6,25
21.6,21.650000000000002,21.700000000000003,12
21.700000000000003,21.75,21.8,16
21.8,21.85,21.900000000000002,23
21.900000000000002,21.950000000000003,22.0,22
22.0,22.05,22.1,12
22.1,22.150000000000002,22.200000000000003,9
22.200000000000003,22.25,22.3,15
22.3,22.35,22.400000000000002,12
22.400000000000002,22.450000000000003,22.5,10
