wing_index,group,landmark,error_px
2,<18,1,1.5236382484436035
2,<18,2,1.13579261302948
2,<18,3,94.69048309326172
2,<18,4,1.6508395671844482
2,<18,5,0.5552805066108704
2,<18,6,58.929691314697266
2,<18,7,1.8044215440750122
2,<18,8,43.63819122314453
2,<18,9,47.52698516845703
2,<18,10,1.5461550951004028
2,<18,11,1.2997171878814697
2,<18,12,0.4070129990577698
2,<18,13,1.3261724710464478
2,<18,14,1.5814288854599
2,<18,15,12.784533500671387
2,<18,16,13.543561935424805
2,<18,17,1.1441062688827515
2,<18,18,1.0994808673858643
2,<18,19,1.9605884552001953
3,<18,1,2.170637369155884
3,<18,2,0.6335043907165527
3,<18,3,113.67839050292969
3,<18,4,29.161937713623047
3,<18,5,1.0367193222045898
3,<18,6,18.191129684448242
3,<18,7,46.20387268066406
3,<18,8,2.5710737705230713
3,<18,9,41.722686767578125
3,<18,10,0.11786220967769623
3,<18,11,1.4793368577957153
3,<18,12,1.848948359489441
3,<18,13,0.8894990086555481
3,<18,14,61.994041442871094
3,<18,15,1.3024554252624512
3,<18,16,92.23797607421875
3,<18,17,31.63445281982422
3,<18,18,31.88818359375
3,<18,19,1.4037011861801147
9,<18,1,1.8795056343078613
9,<18,2,0.7437388896942139
9,<18,3,2.8974971771240234
9,<18,4,1.1156989336013794
9,<18,5,1.5130451917648315
9,<18,6,3.1558732986450195
9,<18,7,2.2552835941314697
9,<18,8,2.0702314376831055
9,<18,9,2.371872901916504
9,<18,10,1.4046030044555664
9,<18,11,1.4717261791229248
9,<18,12,1.5105807781219482
9,<18,13,0.5287435054779053
9,<18,14,8.816577911376953
9,<18,15,3.7275750637054443
9,<18,16,2.3539891242980957
9,<18,17,0.6178428530693054
9,<18,18,0.430320143699646
9,<18,19,4.8761138916015625
11,<18,1,23.0833797454834
11,<18,2,78.30708312988281
11,<18,3,20.01852798461914
11,<18,4,60.293701171875
11,<18,5,69.58868408203125
11,<18,6,2.449193000793457
11,<18,7,33.378482818603516
11,<18,8,44.670814514160156
11,<18,9,5.682801246643066
11,<18,10,2.114464282989502
11,<18,11,1.7520740032196045
11,<18,12,2.151029348373413
11,<18,13,2.1407058238983154
11,<18,14,98.2826919555664
11,<18,15,2.5946857929229736
11,<18,16,73.21162414550781
11,<18,17,33.00443649291992
11,<18,18,29.158035278320312
11,<18,19,1.6363571882247925
15,<18,1,0.5499958395957947
15,<18,2,61.93604278564453
15,<18,3,1.3009443283081055
15,<18,4,104.65265655517578
15,<18,5,1.3444820642471313
15,<18,6,1.0084829330444336
15,<18,7,24.042770385742188
15,<18,8,2.635852813720703
15,<18,9,9.818377494812012
15,<18,10,2.162365674972534
15,<18,11,1.928489089012146
15,<18,12,42.55302047729492
15,<18,13,1.3340671062469482
15,<18,14,33.50981140136719
15,<18,15,1.9978104829788208
15,<18,16,57.718421936035156
15,<18,17,36.030269622802734
15,<18,18,32.810020446777344
15,<18,19,2.970592498779297
16,<18,1,1.7388708591461182
16,<18,2,3.5348429679870605
16,<18,3,1.8749496936798096
16,<18,4,14.896172523498535
16,<18,5,1.2329190969467163
16,<18,6,1.4639270305633545
16,<18,7,0.6042385697364807
16,<18,8,1.8408544063568115
16,<18,9,1.377113699913025
16,<18,10,2.6096296310424805
16,<18,11,1.8019137382507324
16,<18,12,1.9654489755630493
16,<18,13,38.97371292114258
16,<18,14,3.0566601753234863
16,<18,15,85.8422622680664
16,<18,16,49.28660583496094
16,<18,17,3.4542837142944336
16,<18,18,203.27919006347656
16,<18,19,60.52323913574219
20,<18,1,147.4443817138672
20,<18,2,153.01730346679688
20,<18,3,122.64148712158203
20,<18,4,86.59922790527344
20,<18,5,178.39588928222656
20,<18,6,65.48253631591797
20,<18,7,60.34018325805664
20,<18,8,42.271087646484375
20,<18,9,37.84823989868164
20,<18,10,144.8765869140625
20,<18,11,46.45115661621094
20,<18,12,88.70478820800781
20,<18,13,92.29225158691406
20,<18,14,48.550743103027344
20,<18,15,93.85987091064453
20,<18,16,1.3340471982955933
20,<18,17,1.1147526502609253
20,<18,18,185.97056579589844
20,<18,19,56.92306137084961
22,<18,1,109.0619888305664
22,<18,2,131.40992736816406
22,<18,3,221.01559448242188
22,<18,4,149.10459899902344
22,<18,5,113.66738891601562
22,<18,6,108.32787322998047
22,<18,7,198.95681762695312
22,<18,8,93.26444244384766
22,<18,9,58.15802001953125
22,<18,10,74.71009826660156
22,<18,11,0.7853096723556519
22,<18,12,39.08419418334961
22,<18,13,32.98139572143555
22,<18,14,109.97026062011719
22,<18,15,50.378841400146484
22,<18,16,91.55818176269531
22,<18,17,0.42499417066574097
22,<18,18,170.7318878173828
22,<18,19,270.3694763183594
23,<18,1,65.38729858398438
23,<18,2,101.84078979492188
23,<18,3,65.35333251953125
23,<18,4,59.4807243347168
23,<18,5,163.81661987304688
23,<18,6,3.6122283935546875
23,<18,7,39.62065887451172
23,<18,8,2.036118745803833
23,<18,9,61.101871490478516
23,<18,10,56.44514465332031
23,<18,11,24.565528869628906
23,<18,12,70.21989440917969
23,<18,13,23.18165397644043
23,<18,14,21.753530502319336
23,<18,15,142.3935546875
23,<18,16,40.815555572509766
23,<18,17,1.963230013847351
23,<18,18,71.49308013916016
23,<18,19,140.72256469726562
24,<18,1,1.380757451057434
24,<18,2,0.1780761480331421
24,<18,3,1.0479474067687988
24,<18,4,3.605731248855591
24,<18,5,0.47979089617729187
24,<18,6,0.7318451404571533
24,<18,7,7.100438117980957
24,<18,8,1.053314208984375
24,<18,9,1.3441616296768188
24,<18,10,0.4403638541698456
24,<18,11,1.475616455078125
24,<18,12,1.1250038146972656
24,<18,13,2.116903305053711
24,<18,14,2.66916823387146
24,<18,15,1.240746021270752
24,<18,16,6.705661773681641
24,<18,17,1.809802770614624
24,<18,18,1.93300199508667
24,<18,19,2.4411306381225586
27,<18,1,0.43084099888801575
27,<18,2,0.2505306005477905
27,<18,3,0.6901302933692932
27,<18,4,5.815764904022217
27,<18,5,1.8744124174118042
27,<18,6,1.660454511642456
27,<18,7,1.0607725381851196
27,<18,8,0.7102108001708984
27,<18,9,1.401808738708496
27,<18,10,1.0023353099822998
27,<18,11,3.919288396835327
27,<18,12,1.801649808883667
27,<18,13,1.4660158157348633
27,<18,14,1.0883370637893677
27,<18,15,0.37955954670906067
27,<18,16,2.3206746578216553
27,<18,17,0.6331034302711487
27,<18,18,1.534590721130371
27,<18,19,0.7243146896362305
28,<18,1,1.8889241218566895
28,<18,2,0.8602423071861267
28,<18,3,1.1200554370880127
28,<18,4,0.9234939217567444
28,<18,5,2.1553521156311035
28,<18,6,4.345413684844971
28,<18,7,1.896605372428894
28,<18,8,2.2606263160705566
28,<18,9,2.813189744949341
28,<18,10,1.3278343677520752
28,<18,11,1.2866419553756714
28,<18,12,0.6026058793067932
28,<18,13,2.0799543857574463
28,<18,14,2.7761967182159424
28,<18,15,3.8523330688476562
28,<18,16,3.3561851978302
28,<18,17,1.116737723350525
28,<18,18,3.100809335708618
28,<18,19,1.9682061672210693
29,<18,1,338.555419921875
29,<18,2,223.8763885498047
29,<18,3,148.64151000976562
29,<18,4,173.99746704101562
29,<18,5,244.98509216308594
29,<18,6,89.89144134521484
29,<18,7,6.226619243621826
29,<18,8,1.2799996137619019
29,<18,9,84.8759765625
29,<18,10,101.95471954345703
29,<18,11,88.20335388183594
29,<18,12,92.5191650390625
29,<18,13,135.12278747558594
29,<18,14,22.892728805541992
29,<18,15,47.64087677001953
29,<18,16,145.18231201171875
29,<18,17,1.8709003925323486
29,<18,18,1.777513861656189
29,<18,19,317.7823181152344
31,<18,1,1.0051960945129395
31,<18,2,71.27462005615234
31,<18,3,91.25979614257812
31,<18,4,134.72618103027344
31,<18,5,3.4454944133758545
31,<18,6,119.40682220458984
31,<18,7,103.0385971069336
31,<18,8,118.51387786865234
31,<18,9,99.37693786621094
31,<18,10,52.42012023925781
31,<18,11,52.397003173828125
31,<18,12,15.15139389038086
31,<18,13,80.8029556274414
31,<18,14,56.697513580322266
31,<18,15,80.63937377929688
31,<18,16,32.374359130859375
31,<18,17,1.3510733842849731
31,<18,18,123.40061950683594
