epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1044.73,1.0639,1.00971,0.01529,0.99136,0.99181,0.99492,0.76245,0.96314,0.28134,0.01798,0.000666552,0.000666552,0.000666552
2,1957.87,0.88662,0.38711,0.01254,0.98952,0.98043,0.99446,0.81089,0.76497,0.26336,0.01263,0.00128922,0.00128922,0.00128922
3,2860.89,0.77588,0.32071,0.01067,0.97625,0.99144,0.99442,0.86371,0.6127,0.19496,0.01137,0.00186789,0.00186789,0.00186789
4,3766.65,0.70321,0.29429,0.00967,0.98849,0.98999,0.99481,0.90207,0.45497,0.15067,0.00868,0.001802,0.001802,0.001802
5,4664.32,0.65459,0.26948,0.0089,0.99323,0.99408,0.99495,0.88266,0.5363,0.16928,0.00894,0.001736,0.001736,0.001736
6,5568.53,0.61122,0.25413,0.00825,0.99771,0.99128,0.99497,0.89178,0.49155,0.15179,0.00874,0.00167,0.00167,0.00167
7,6481.31,0.57475,0.23327,0.0077,0.99591,0.99735,0.995,0.94112,0.34753,0.10678,0.00583,0.001604,0.001604,0.001604
8,7382.41,0.53912,0.21706,0.00721,0.99656,0.99363,0.99498,0.94262,0.35422,0.11506,0.00622,0.001538,0.001538,0.001538
9,8279.06,0.52916,0.21773,0.00703,0.99818,0.99786,0.99499,0.95738,0.32113,0.10119,0.00568,0.001472,0.001472,0.001472
10,9183.83,0.50504,0.20487,0.00667,0.99863,0.99858,0.995,0.95037,0.32829,0.10255,0.00574,0.001406,0.001406,0.001406
11,10081.3,0.4958,0.20261,0.00651,0.99534,0.99226,0.99496,0.96575,0.29764,0.10211,0.00555,0.00134,0.00134,0.00134
12,10981.3,0.46488,0.19221,0.00609,0.99909,0.99903,0.995,0.95183,0.32213,0.09708,0.00545,0.001274,0.001274,0.001274
13,11879.8,0.46022,0.19203,0.00599,0.99504,0.99772,0.99499,0.96745,0.29326,0.0994,0.00528,0.001208,0.001208,0.001208
14,12776.5,0.4472,0.18759,0.00579,0.99797,0.99545,0.995,0.98291,0.24559,0.08331,0.00405,0.001142,0.001142,0.001142
15,13674.9,0.41954,0.17663,0.00545,0.99806,0.99909,0.99499,0.94717,0.34178,0.10533,0.0058,0.001076,0.001076,0.001076
16,14573.3,0.41236,0.17117,0.00537,0.99543,0.99239,0.99497,0.95495,0.31077,0.10847,0.00505,0.00101,0.00101,0.00101
17,15469.8,0.39378,0.16652,0.00505,0.99761,0.99727,0.995,0.97849,0.25234,0.08338,0.00402,0.000944,0.000944,0.000944
18,16365.6,0.38197,0.16023,0.00493,0.9983,0.99772,0.99498,0.9855,0.23558,0.08029,0.00379,0.000878,0.000878,0.000878
19,17260.7,0.36863,0.15593,0.00475,0.99893,0.99818,0.995,0.99108,0.17574,0.06297,0.00285,0.000812,0.000812,0.000812
20,21655.2,0.35615,0.15357,0.00458,0.99814,0.99954,0.99494,0.9912,0.1959,0.06779,0.0031,0.000746,0.000746,0.000746
21,22620.7,0.2196,0.07809,0.00424,0.99813,0.99909,0.995,0.98696,0.22617,0.0756,0.00344,0.00068,0.00068,0.00068
22,696.919,0.33635,0.14792,0.00418,0.99773,0.99814,0.99494,0.99227,0.17307,0.06475,0.00278,0.000614,0.000614,0.000614
23,1332.72,0.31981,0.14196,0.00402,0.99954,0.99795,0.995,0.99369,0.15284,0.05662,0.00249,0.000548,0.000548,0.000548
24,1950.03,0.30973,0.13465,0.00382,0.99865,0.99909,0.995,0.99389,0.13386,0.05003,0.00219,0.000482,0.000482,0.000482
25,2572.48,0.29891,0.13129,0.00368,0.99893,0.99909,0.995,0.99392,0.12676,0.04797,0.00206,0.000416,0.000416,0.000416
26,3186.52,0.28651,0.12818,0.00353,0.99732,0.99909,0.995,0.9939,0.13187,0.05014,0.00216,0.00035,0.00035,0.00035
27,3810.17,0.27939,0.1282,0.00345,0.99938,0.99863,0.995,0.99393,0.12401,0.04595,0.00206,0.000284,0.000284,0.000284
28,4440.04,0.27098,0.12182,0.00333,1,0.99856,0.995,0.9939,0.13039,0.04752,0.00213,0.000218,0.000218,0.000218
29,5056.77,0.26216,0.11985,0.00321,0.99942,0.99909,0.995,0.9939,0.13089,0.04743,0.00215,0.000152,0.000152,0.000152
30,5668.99,0.25421,0.11569,0.00312,1,0.99812,0.995,0.99391,0.12727,0.04735,0.0021,8.6e-05,8.6e-05,8.6e-05
